0	244014	271
1	238941	532
2	207775	694
3	186394	832
4	195511	1092
5	200753	1347
6	203119	1592
7	206125	1848
8	209063	2111
9	210267	2362
10	211970	2622
11	211514	2858
12	211642	3101
13	215168	3399
14	216517	3669
15	217539	3937
16	217939	4195
17	217703	4442
19	217319	4692
20	361578	8227
21	354813	8486
22	347889	8726
23	340252	8933
24	334278	9168
25	329116	9414
26	325195	9685
27	322116	9973
28	318392	10235
29	315254	10508
30	312045	10772
31	309946	11069
32	306956	11329
33	303138	11551
34	300004	11792
35	297393	12047
36	294871	12300
37	292671	12562
38	290964	12841
39	288853	13099
40	287135	13370
41	284491	13594
42	282545	13847
43	281242	14127
44	279517	14384
45	277739	14634
46	275726	14869
47	274029	15116
48	272753	15384
49	272033	15681
50	270683	15941
51	269161	16187
52	267644	16431
53	266415	16690
54	265359	16957
55	264214	17217
56	261297	17357
57	260247	17617
58	258857	17852
59	257676	18098
60	256605	18350
61	255287	18582
62	254204	18829
63	253140	19076
64	252321	19339
65	251423	19595
66	250644	19858
67	249922	20125
68	247746	20272
69	246788	20516
70	245926	20765
71	245088	21016
72	244380	21276
73	243342	21506
74	242614	21761
75	241925	22019
77	276308	25546
78	275340	25823
79	274058	26068
80	273053	26338
81	272352	26635
82	271151	26882
83	269951	27127
84	268810	27375
85	267671	27622
86	266583	27871
87	265549	28124
88	264539	28378
89	263591	28637
90	262438	28871
91	261374	29113
92	260531	29378
93	259502	29620
94	258624	29878
95	257543	30110
96	256588	30356
97	255645	30600
98	254903	30868
99	253804	31091
100	252840	31328
101	252028	31582
102	251334	31850
103	250394	32085
104	249705	32351
105	248809	32589
106	248087	32848
107	247152	33078
108	246306	33318
109	245548	33568
110	244865	33828
111	244143	34080
112	243319	34318
113	242569	34564
114	241916	34823
115	241060	35052
116	240460	35316
117	239687	35554
118	239074	35815
119	238383	36063
120	237636	36301
121	237067	36565
122	236359	36807
123	235626	37044
124	234997	37296
125	234331	37541
126	233388	37740
127	232730	37984
128	232186	38245
129	231633	38505
130	231188	38781
131	230578	39030
132	230100	39300
133	229483	39545
134	229202	39848
135	228581	40091
136	227955	40332
137	227314	40570
138	226677	40807
139	225652	40973
140	225111	41225
141	224579	41478
142	223942	41711
143	223382	41958
144	222918	42221
145	222338	42462
146	221900	42729
147	221420	42988
148	220925	43243
149	220275	43467
150	219781	43721
151	219294	43976
152	218826	44233
153	218344	44488
154	217855	44740
155	217346	44988
156	216863	45240
157	216433	45503
158	215969	45758
159	215458	46003
160	214898	46236
161	214357	46473
162	213841	46714
